created_at,favorite_count,full_text,id_str,metadata.iso_language_code,retweeted_status.created_at,retweeted_status.full_text,user.created_at,user.favourites_count,user.followers_count,user.friends_count,user.id_str,user.location,user.verified,retweet_count,is_troll,sentiment_tag,sentiment_sc
2021-02-01 00:00:00+00:00,1,elecciones2021ec las propuestas económicas de guillermo lasso andrés arauz y yaku pérez son del todo viables para el ecuador en este especial de gestión le contaremos,1356029498307784705,es,,,2011-12-05 13:59:33+00:00,269,12756,288,429043466,Ecuador,False,0,False,Negativo,0.3035373852666699
2021-01-31 23:59:54+00:00,0,el candidato andrés arauz no aceptó responder el cuestionario individual formulado por politicamentecorrecto…,1356029470554128384,es,Sun Jan 31 15:51:12 +0000 2021,El candidato Andrés Arauz @ecuarauz no aceptó responder el cuestionario individual formulado por #PoliticamenteCorrectoElectoral. https://t.co/KvlJLwhor0,2010-04-22 06:20:32+00:00,15211,1643,3233,135774682,Ombligo del mundo,False,154,False,Negativo,0.012757641190057432
2021-01-31 23:59:48+00:00,0,candidato del correísmo andrés arauz aumentó su ventaja en intención de votos en ecuador de cara a elecciones del próximo 7…,1356029444817776641,es,Sun Jan 31 19:20:13 +0000 2021,"Candidato del Correísmo, Andrés Arauz aumentó su ventaja en intención de votos en Ecuador de cara a elecciones del próximo 7F

#EnVenezuelaNosCuidamos

https://t.co/aGHGxiG6IE https://t.co/pbwf4K7riE",2020-09-02 18:22:54+00:00,17,270,247,1301224047850721281,venezuela caracas,False,387,False,Negativo,0.011175202840032258
2021-01-31 23:59:30+00:00,0,eln habría prestado $80.000 para la campaña de andrés arauz,1356029369324593155,es,Sun Jan 31 16:18:52 +0000 2021,#ELN habría prestado $80.000 para la campaña de Andrés Arauz https://t.co/Pt33yecGFZ https://t.co/UxIonIoM8u,2010-08-20 20:40:04+00:00,2653,197,226,180914917,Quito,False,23,False,Negativo,0.4047735280378008
2021-01-31 23:59:27+00:00,0,$1 000 a 1 millón de familias ayudará a dinamizar economía de los ecuatorianos niunvotoaladerecha el subsidio de $…,1356029360399151105,es,Sun Jan 31 14:02:07 +0000 2021,"🇪🇨$1 000 A 1 MILLÓN DE FAMILIAS AYUDARÁ A DINAMIZAR ECONOMÍA DE LOS ECUATORIANOS🇪🇨🇪🇨
#NiUnVotoALaDerecha
El subsidio de $1 000 a 1 millón de familias, es una promesa de Andrés y se cumplirá a rajatabla. Los ricos, tienen para comer, los pobre #NO.
@MashiRafael
@ecuarauz https://t.co/RPC6jLPygd",2011-12-07 02:30:28+00:00,24781,747,1006,430359745,Guayaquil,False,12,False,Negativo,0.046921715470589466
2021-01-31 23:59:01+00:00,0,las farc aportaron a la campaña de rafael correa el eln aportaron a la campaña del lelo andrés arauz por eso el…,1356029250667749376,es,Sun Jan 31 18:39:23 +0000 2021,"Las FARC aportaron a la campaña de Rafael Correa  //  El ELN aportaron a la campaña del LELO Andrés Arauz

Por eso el Ecuador está lleno de Narcos y Asesinos. https://t.co/KzADQcF0H0",2016-07-17 13:49:57+00:00,51070,647,597,754674499380019204,,False,156,False,Negativo,0.17575291779303065
2021-01-31 23:57:42+00:00,0,el candidato lasso regala agua en manabí pedirá el consejero verdezoto la suspensión de sus derechos políticos cómo ha…,1356028918038491150,es,Sat Jan 30 20:24:22 +0000 2021,"El candidato Lasso regala agua en Manabí, ¿pedirá el Consejero Verdezoto la suspensión de sus derechos políticos, cómo ha pedido desmesuradamente contra Andrés Arauz  en un nuevo intento de eliminar su candidatura? 😤😤😤

#VamosARecuperarLaPatria 🧡 https://t.co/gDGnpQDuhH",2017-02-21 02:01:26+00:00,150468,820,591,833859141185712128,,False,116,False,Negativo,0.01954579443652221
2021-01-31 23:57:38+00:00,0,a cuentagotas llegan vacunas rusas contra el covid19 a argentina. en ese país creen que será muy difícil cumplir el ofre…,1356028900489441283,es,Sun Jan 31 05:08:46 +0000 2021,"A cuentagotas llegan vacunas rusas contra el #COVID19 a Argentina. En ese país creen que será muy difícil cumplir el ofrecimiento de más de 4 millones de dosis que el candidato ecuatoriano Andrés Aráuz dice que le hizo el presidente Alberto Fernández.
https://t.co/mn2tofGM2i https://t.co/qyNJB07Kpj",2020-05-13 00:04:13+00:00,24490,1021,758,1260360063312637953,en libertad,False,89,False,Negativo,0.09626735381249968
2021-01-31 23:57:35+00:00,2,ya tenemos presidente ya tenemos andres y rafael eso es lo que importa,1356028889278132225,es,,,2012-08-16 15:42:41+00:00,111,69,224,761784314,,False,0,False,Negativo,0.19219577364029025
2021-01-31 23:57:32+00:00,0,ojo con permitir un golpe de estado en ecuador. el gobierno ecuatoriano quiere suspender elecciones ant…,1356028875902504962,es,Sat Jan 30 20:43:00 +0000 2021,"Ojo @Almagro_OEA2015 con permitir un golpe de estado en Ecuador.

El gobierno ecuatoriano quiere suspender elecciones ante la virtual victoria contundente del candidato progresista Andrés Arauz",2009-11-06 21:31:22+00:00,267,1447,3075,88037820,Pereira,False,2102,False,Negativo,0.04358931941492762
2021-01-31 23:57:29+00:00,0,eln habría prestado $80.000 para la campaña de andrés arauz. “el ‘aporte préstamo’ del q habla alias uriel para una campaña presidencial en ecuador” un artículo de la revista colombiana “semana” q publicó un informe de la existencia de archivos del eln.,1356028864624025604,es,,,2010-06-10 17:01:44+00:00,316,2654,397,154204074,Girón - Azuay - Ecuador,False,0,False,Negativo,0.02501612723359069
2021-01-31 23:56:48+00:00,0,hoy estuvimos en yahuarcocha llevando el mensaje de nuestro candidato presidencial andrés arauz. vuelve el futuro …,1356028692967907338,es,Sun Jan 31 23:33:58 +0000 2021,"Hoy estuvimos en Yahuarcocha llevando el mensaje de nuestro candidato presidencial Andrés Arauz.
¡Vuelve el futuro! ☝️🧡
#AndrésArauzPresidente #TodoTodito1 https://t.co/io10b2VmJ8",2015-04-24 17:11:28+00:00,163673,797,327,3201792010,,False,77,False,Neutral,0.5426592729923132
2021-01-31 23:56:33+00:00,0,estamos a pocos días de las elecciones y mientras los principales candidatos guillermo lasso y andrés arauz están en cam…,1356028630405623810,es,Sun Jan 31 22:27:44 +0000 2021,Estamos a pocos días de las elecciones y mientras los principales candidatos Guillermo Lasso y Andrés Arauz están en campaña encontré este Tik Tok. https://t.co/9ii7SuNIN9,2011-07-31 16:23:56+00:00,37248,572,318,346035135,Quito,False,11,False,Negativo,0.44516552106896773
2021-01-31 23:56:03+00:00,0,el candidato andrés arauz y su coalición eluden eluden los señalamientos del consejero electoral luis verdesoto.,1356028503867711488,es,Sun Jan 31 15:42:05 +0000 2021,"El candidato Andrés Arauz y su coalición eluden eluden los señalamientos del consejero electoral, Luis Verdesoto.",2014-10-31 16:57:26+00:00,395,52,290,2853445775,,False,41,False,Negativo,0.0055763998802544415
2021-01-31 23:55:58+00:00,0,me es impensable hasta vergonzoso a más de ridículo por parte de guillermo lasso apelar a que la guerrilla colombiana fina…,1356028479935033344,es,Sun Jan 31 13:30:56 +0000 2021,"Me es impensable hasta vergonzoso a más de ridículo por parte de Guillermo Lasso apelar a que la guerrilla colombiana financia a Andrés Araúz

Ello es un insulto a la inteligencia nacional

En lugar de proponer soluciones a tamaña crisis nacional apela a tal ESTUPIDEZ

Indignante",2013-07-03 14:41:54+00:00,99754,321,438,1565922810,Ecuador,False,350,False,Negativo,0.15789837307367585
